  	190254170
\x0A\x09	17764377
IN	16042857
\x09\x09	14055250
DE	13767162
E 	12060836
00	11626987
RE	11056421
ST	9662983
NE	9517448
_C	9378884
;\x0A	9108112
T 	9068476
_S	8845232
, 	8823991
ER	8165703
 0	7931977
0X	7889719
FI	7537295
AT	7350534
NT	7228935
E_	7154534
T_	6881854
EF	6779819
_D	6596995
TR	6275093
\x0A#	6257600
 *	6158134
TE	6140157
_P	6111320
_R	6086150
SE	6001436
MA	5984809
ON	5941084
EN	5885062
_M	5779129
__	5775876
#D	5651258
TA	5596218
= 	5580363
IF	5462955
CO	5287230
ET	5274735
AS	5149955
CT	5119388
 =	4812028
C_	4733145
ES	4463810
OR	4454984
R_	4437518
_I	4434899
\x0A\x0A	4426074
,\x0A	4339268
 S	4288240
->	4287670
LE	4175657
S_	4137686
EV	4098061
AN	4051995
_E	4025743
 I	4013705
TI	4008090
);	3924399
D_	3848055
 T	3828474
L_	3808723
_A	3806477
0_	3752082
AL	3752056
G_	3713781
 C	3634761
X0	3589412
_T	3573822
P_	3504692
AR	3436528
IO	3360943
IT	3350575
S 	3274973
ED	3267664
* 	3222863
 D	3199233
RI	3189889
RA	3186070
M_	3161805
IC	3123554
ID	3108547
D 	3099828
X_	3092273
_L	3078540
RU	3070100
 A	3048037
TH	3046015
LI	2999158
N_	2981585
AD	2963873
 R	2960031
HI	2953803
FF	2942728
SK	2922654
SI	2880567
DI	2858487
\x0A 	2849751
N 	2845553
LA	2836491
LO	2829827
ND	2793292
_B	2792784
ME	2778652
IS	2755294
RO	2721010
UC	2712401
SH	2670918
_F	2665625
 (	2649349
UN	2616137
1_	2597161
HE	2537134
PE	2532871
 M	2530963
CH	2499924
RT	2498708
TO	2493458
F 	2478243
CA	2474530
TU	2470229
R 	2469129
VE	2467431
 B	2461185
EG	2458511
CL	2457768
AC	2434883
IG	2433721
A_	2401445
2_	2382571
EL	2378584
AM	2378076
CE	2356789
PC	2344497
_O	2339054
 P	2336178
